
=== Founders ===
       animalid  sireid  damid   birthdate
52           53      -1     -1  0000-00-00
63           64      -1     -1  0000-00-00
85           86      -1     -1  1905-01-01
128         129      -1     -1  0000-00-00
189         190      -1     -1  0000-00-00
219         220      -1     -1  0000-00-00
320         321      -1     -1  1965-01-01
363         364      -1     -1  2008-04-16
370         371      -1     -1  2016-11-23
499         500      -1     -1  0000-00-00
507         508      -1     -1  1923-01-01
514         515      -1     -1  2015-04-04
541         542      -1     -1  0000-00-00
600         601      -1     -1  1924-05-01
601         602      -1     -1  1912-01-01
612         613      -1     -1  1986-02-16
654         656      -1     -1  1936-01-01
658         660      -1     -1  0000-00-00
662         664      -1     -1  1932-01-01
667         669      -1     -1  1914-01-01
677         679      -1     -1  1926-01-01
679         681      -1     -1  2020-11-15
743         745      -1     -1  1921-01-01
747         749      -1     -1  0000-00-00
755         757      -1     -1  1916-01-01
768         770      -1     -1  0000-00-00
832         835      -1     -1  0000-00-00
847         850      -1     -1  0000-00-00
851         854      -1     -1  2020-01-01
858         861      -1     -1  0000-00-00
860         863      -1     -1  0000-00-00
861         864      -1     -1  1978-01-01
862         865      -1     -1  0000-00-00
863         866      -1     -1  0000-00-00
882         885      -1     -1  0000-00-00
919         922      -1     -1  2012-10-01
923         926      -1     -1  2012-10-01
926         929      -1     -1  0000-00-00
935         938      -1     -1  2012-10-01
936         939      -1     -1  2012-10-01
944         947      -1     -1  0000-00-00
953         956      -1     -1  1907-01-01
962         965      -1     -1  1891-01-01
998        1001      -1     -1  0000-00-00
1005       1008      -1     -1  0000-00-00
1037       1040      -1     -1  0000-00-00
1039       1042      -1     -1  0000-00-00
1098       1101      -1     -1  1983-01-01
1378       1381      -1     -1  0000-00-00
1404       1407      -1     -1  0000-00-00
1426       1429      -1     -1  2020-11-15
1492       1495      -1     -1  0000-00-00
1496       1499      -1     -1  0000-00-00
1497       1500      -1     -1  0000-00-00
1501       1504      -1     -1  1913-01-01
1562       1565      -1     -1  0000-00-00
1636       1639      -1     -1  0000-00-00
1638       1641      -1     -1  2019-12-27
1695       1698      -1     -1  2018-10-21
1709       1712      -1     -1  0000-00-00
1990       1993      -1     -1  0000-00-00
2012       2015      -1     -1  1936-01-01
2024       2027      -1     -1  0000-00-00
2026       2029      -1     -1  2012-10-12
2054       2057      -1     -1  1902-01-01
2119       2122      -1     -1  1890-05-30
2152       2155      -1     -1  0000-00-00
2178       2181      -1     -1  2019-12-27
2216       2219      -1     -1  0000-00-00
2224       2227      -1     -1  1950-01-01
2254       2257      -1     -1  0000-00-00
2259       2262      -1     -1  1929-01-01
2261       2264      -1     -1  0000-00-00
2283       2286      -1     -1  1947-10-03
2290       2293      -1     -1  1940-01-01
2293       2296      -1     -1  0000-00-00
2312       2315      -1     -1  1948-01-12
2313       2316      -1     -1  0000-00-00
2320       2323      -1     -1  1933-01-01
2321       2324      -1     -1  1945-12-18
2328       2331      -1     -1  0000-00-00
2333       2336      -1     -1  0000-00-00
2344       2347      -1     -1  0000-00-00
2345       2348      -1     -1  1944-07-05
2348       2351      -1     -1  0000-00-00
2376       2379      -1     -1  0000-00-00
2385       2388      -1     -1  0000-00-00
2410       2413      -1     -1  2006-01-01
2421       2424      -1     -1  0000-00-00
2430       2433      -1     -1  0000-00-00
2446       2449      -1     -1  1957-03-19
2449       2452      -1     -1  0000-00-00
2461       2464      -1     -1  2016-04-12
2546       2549      -1     -1  0000-00-00
2559       2562      -1     -1  0000-00-00
2591       2594      -1     -1  0000-00-00
2598       2601      -1     -1  2011-06-15
2874       2877      -1     -1  0000-00-00
2875       2878      -1     -1  1967-10-05
2922       2925      -1     -1  0000-00-00
2961       2965      -1     -1  0000-00-00
2968       2972      -1     -1  0000-00-00
2974       2978      -1     -1  0000-00-00
3035       3039      -1     -1  1926-01-01
3040       3044      -1     -1  0000-00-00
3059       3064      -1     -1  0000-00-00
3067       3072      -1     -1  0000-00-00
3085       3090      -1     -1  0000-00-00
3086       3091      -1     -1  0000-00-00
3099       3104      -1     -1  0000-00-00
3105       3110      -1     -1  2015-01-01
3116       3121      -1     -1  1941-01-01
3120       3125      -1     -1  1897-01-01
3155       3160      -1     -1  1899-01-01
3162       3167      -1     -1  0000-00-00
3179       3184      -1     -1  2012-10-12
3208       3213      -1     -1  0000-00-00
3243       3248      -1     -1  1913-01-01
3279       3284      -1     -1  2019-12-27
3315       3320      -1     -1  0000-00-00
3385       3390      -1     -1  0000-00-00
3386       3391      -1     -1  0000-00-00
3406       3411      -1     -1  0000-00-00
3408       3413      -1     -1  0000-00-00
3469       3474      -1     -1  1973-01-01
3470       3475      -1     -1  0000-00-00
3474       3479      -1     -1  1973-01-01
3484       3489      -1     -1  0000-00-00
3509       3514      -1     -1  0000-00-00
3531       3536      -1     -1  0000-00-00
3536       3541      -1     -1  0000-00-00
3564       3569      -1     -1  0000-00-00
3632       3637      -1     -1  0000-00-00
3769       3774      -1     -1  0000-00-00
3793       3798      -1     -1  0000-00-00
3807       3812      -1     -1  0000-00-00
3815       3820      -1     -1  0000-00-00
3828       3833      -1     -1  0000-00-00
3843       3848      -1     -1  0000-00-00
3846       3851      -1     -1  1916-01-01
3998       4003      -1     -1  0000-00-00
4023       4028      -1     -1  0000-00-00
4028       4033      -1     -1  0000-00-00
4050       4055      -1     -1  0000-00-00
4060       4065      -1     -1  0000-00-00
4101       4106      -1     -1  0000-00-00
4112       4117      -1     -1  2014-01-01
4133       4138      -1     -1  0000-00-00
4184       4189      -1     -1  0000-00-00
4186       4191      -1     -1  1992-05-15
4228       4233      -1     -1  0000-00-00
4229       4234      -1     -1  0000-00-00
4232       4237      -1     -1  0000-00-00
4263       4268      -1     -1  1931-12-01
4266       4271      -1     -1  0000-00-00
4284       4289      -1     -1  0000-00-00
4297       4302      -1     -1  0000-00-00
4298       4303      -1     -1  2012-02-08
4343       4348      -1     -1  0000-00-00
4345       4350      -1     -1  2017-04-09
4349       4354      -1     -1  0000-00-00
4351       4356      -1     -1  0000-00-00
4354       4359      -1     -1  0000-00-00
4356       4361      -1     -1  0000-00-00
4360       4365      -1     -1  0000-00-00
4365       4370      -1     -1  0000-00-00
4369       4374      -1     -1  0000-00-00
4376       4381      -1     -1  0000-00-00
4452       4457      -1     -1  0000-00-00
4516       4521      -1     -1  0000-00-00
4534       4539      -1     -1  2017-05-01
4578       4583      -1     -1  0000-00-00
4583       4588      -1     -1  0000-00-00
4586       4591      -1     -1  0000-00-00
4587       4592      -1     -1  0000-00-00
4598       4603      -1     -1  0000-00-00
4601       4606      -1     -1  0000-00-00
4612       4617      -1     -1  0000-00-00
4686       4691      -1     -1  0000-00-00
4689       4694      -1     -1  2018-05-05
4767       4772      -1     -1  2018-05-05
4768       4773      -1     -1  2019-12-27
4774       4779      -1     -1  2015-01-19
4855       4860      -1     -1  0000-00-00
4856       4861      -1     -1  0000-00-00
4866       4871      -1     -1  2017-12-31
4936       4941      -1     -1  0000-00-00
4940       4945      -1     -1  0000-00-00
4941       4946      -1     -1  0000-00-00
4942       4947      -1     -1  0000-00-00
4943       4948      -1     -1  0000-00-00
4944       4949      -1     -1  0000-00-00
4945       4950      -1     -1  0000-00-00
4946       4951      -1     -1  0000-00-00
4947       4952      -1     -1  0000-00-00
4949       4954      -1     -1  0000-00-00
4956       4961      -1     -1  1977-03-07
4960       4965      -1     -1  0000-00-00
4997       5002      -1     -1  0000-00-00
5000       5005      -1     -1  0000-00-00
5013       5018      -1     -1  0000-00-00
5029       5034      -1     -1  0000-00-00
5046       5051      -1     -1  1959-06-19
5047       5052      -1     -1  1962-01-01
5050       5055      -1     -1  0000-00-00
5169       5175      -1     -1  0000-00-00
5232       5238      -1     -1  0000-00-00
5285       5291      -1     -1  0000-00-00
5329       5335      -1     -1  1905-01-01
5330       5337      -1     -1  1909-01-01
5343       5350      -1     -1  1971-06-11
5384       5391      -1     -1  0000-00-00
5385       5392      -1     -1  0000-00-00
5391       5398      -1     -1  2019-08-16
5450       5457      -1     -1  2020-11-15
5487       5494      -1     -1  0000-00-00
5509       5516      -1     -1  1926-01-01
5510       5517      -1     -1  1926-01-01
5628       5635      -1     -1  0000-00-00
5636       5643      -1     -1  0000-00-00
5640       5647      -1     -1  2011-06-15
5676       5683      -1     -1  0000-00-00
5683       5690      -1     -1  0000-00-00
5721       5728      -1     -1  2018-05-05
5736       5743      -1     -1  1960-01-01
5744       5751      -1     -1  1999-01-01
5747       5754      -1     -1  2018-04-05
5748       5755      -1     -1  2018-04-05
5749       5756      -1     -1  2018-04-05
5793       5800      -1     -1  1897-01-01
5796       5803      -1     -1  0000-00-00
5798       5805      -1     -1  0000-00-00
